         2720 function calls in 0.004 seconds

   Ordered by: cumulative time
   List reduced from 93 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 benchmark_wave.py:50(batch_run)
        1    0.000    0.000    0.004    0.004 batch_wave.py:248(step)
        1    0.001    0.001    0.001    0.001 batch_wave.py:187(_predict)
        3    0.000    0.000    0.001    0.000 batch_wave.py:218(_sample)
        5    0.000    0.000    0.001    0.000 tensor_kernel.py:155(polynomial)
        2    0.000    0.000    0.001    0.000 batch_wave.py:113(_support)
      123    0.000    0.000    0.000    0.000 batch_wave.py:83(put)
        2    0.000    0.000    0.000    0.000 tensor_kernel.py:143(com)
        3    0.000    0.000    0.000    0.000 tensor_kernel.py:86(fk)
      400    0.000    0.000    0.000    0.000 {built-in method torch.where}
        1    0.000    0.000    0.000    0.000 tensor_kernel.py:108(ik)
       48    0.000    0.000    0.000    0.000 tensor_kernel.py:20(finite_rows)
       24    0.000    0.000    0.000    0.000 batch_wave.py:88(fail)
        1    0.000    0.000    0.000    0.000 batch_wave.py:91(_read)
      199    0.000    0.000    0.000    0.000 {method 'to' of 'torch._C.TensorBase' objects}
       56    0.000    0.000    0.000    0.000 {built-in method torch.isfinite}
       74    0.000    0.000    0.000    0.000 batch_wave.py:80(active)
       85    0.000    0.000    0.000    0.000 _tensor.py:32(wrapped)
      199    0.000    0.000    0.000    0.000 {method 'float' of 'torch._C.TensorBase' objects}
      177    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}


